combined_weather_SLA_wind_U_W6,combined_weather_SLA_wind_V_W6,combined_weather_SLA_pressure_W6,combined_weather_SLA_wind_U_W9,combined_weather_SLA_wind_V_W9,combined_weather_SLA_pressure_W9,combined_weather_SLA_wind_U_W10,combined_weather_SLA_wind_V_W10,combined_weather_SLA_pressure_W10,combined_weather_SLA_wind_U_OSC2_1,combined_weather_SLA_wind_V_OSC2_1,combined_weather_SLA_pressure_OSC2_1,combined_weather_SLA_wind_U_SCS_500,combined_weather_SLA_wind_V_SCS_500,combined_weather_SLA_pressure_SCS_500,combined_weather_SLA_wind_U_Singapore,combined_weather_SLA_wind_V_Singapore,combined_weather_SLA_pressure_Singapore,combined_weather_SLA_SLA
-7.096796511,-4.677191835,100974.5006,-6.184584094,0.631816852,101204.2447,-6.614192303,-4.862659801,101143.7576,1.990285258,-4.684349766,100871.3816,-3.206276361,-3.007352905,100892.6182,0.150435148,-5.115706303,100845.3685,0.22830912501967005
-6.920796469,-4.235759216,100973.6783,-5.783379137,0.96133084,101202.6891,-6.470725943,-4.462494818,101124.6958,0.934671758,-4.52622918,100799.2784,-2.770941483,-3.280193028,100846.7284,-0.319997125,-4.947016836,100776.8427,0.250533529
-6.774894985,-3.712068898,100933.3875,-5.570764534,0.925752088,101162.6206,-6.338418077,-4.02756252,101120.3916,0.587536898,-5.022974615,100739.22,-2.74575682,-3.525749139,100812.7777,-0.296066948,-4.923336454,100730.3188,0.26356299624131807
-7.135057389,-3.191444085,100947.7618,-5.6350294,0.669585067,101156.7282,-6.222582274,-3.648530611,101104.2624,0.381616849,-5.188269456,100721.4017,-3.104707448,-3.777263827,100811.1144,-0.225249186,-4.486978842,100729.0777,0.270815994
-6.694802213,-2.639653312,100961.4967,-5.101691075,0.698048069,101182.2306,-5.60461421,-3.172013876,101131.98,-0.344131095,-4.275130245,100755.3229,-3.403602342,-4.026896859,100830.3722,-0.338479783,-3.20318282,100773.627,0.244267754
-6.570326821,-2.63607689,101015.5527,-5.402594792,0.797668577,101196.7967,-5.199188903,-3.195192087,101167.3128,-0.515293938,-4.056171974,100817.8714,-3.503233973,-3.959157242,100890.6776,0.636237211,-2.971700428,100847.1361,0.184186516
-6.390245619,-2.737238532,101068.2384,-5.459652383,0.888531238,101288.7657,-4.98080122,-3.293358624,101253.7293,-0.261063559,-4.106965701,100911.9984,-3.475281766,-4.191228152,100938.6559,-0.087504749,-3.964147923,100881.3614,0.177333396
-6.134152805,-2.971749611,101142.0591,-5.319711133,1.117329988,101348.8213,-4.83733486,-3.230641114,101320.0434,-0.827234395,-4.034362238,100976.7973,-3.497145374,-4.510168847,100985.3959,-0.670583956,-4.529550316,100968.2222,0.177641004
-5.913259999,-3.027439605,101210.7636,-4.942530426,1.370212816,101393.2267,-4.893127333,-3.109296366,101359.7278,-0.18040061,-4.461086942,101042.5922,-3.613382277,-4.549056405,101018.8476,-0.044702805,-4.720057664,101065.2565,0.18599244037215001
-5.745422278,-2.883871821,101189.2021,-4.564749111,1.376781201,101352.6868,-4.821394153,-2.92591582,101293.6975,0.391453794,-5.420715327,101056.5922,-4.086632526,-4.730949821,101039.8242,0.401215628,-4.348089407,101046.978,0.14324390468859993
